,Price
1721,48787.0
1722,24990.0
1723,32990.0
1724,32880.0
1726,36990.0
1727,45888.0
1729,23900.0
1730,23990.0
1732,32999.0
1734,33999.0
1738,48888.0
1739,64888.0
1740,12999.0
1741,46880.0
1745,26990.0
1746,12990.0
1747,31990.0
1750,10995.0
1751,59990.0
1752,29990.0
1753,28950.0
1756,26999.0
1758,19490.0
1760,48990.0
1762,31880.0
1765,62990.0
1766,19888.0
1767,20800.0
1768,20490.0
1769,14995.0
1770,35990.0
1773,23995.0
1775,7950.0
1777,13990.0
1779,23990.0
1784,22500.0
1785,17990.0
1789,20999.0
1791,9995.0
1792,8990.0
1793,54990.0
1794,10950.0
1795,41990.0
1796,59990.0
1798,14995.0
1801,61990.0
1802,19990.0
1805,53990.0
1807,13900.0
1808,15999.0
1809,12990.0
1810,43987.0
1811,25990.0
1812,47990.0
1813,41485.0
1814,56950.0
1815,24990.0
1816,33999.0
1817,21950.0
1818,18990.0
1819,21950.0
1820,24990.0
1821,25999.0
1824,54990.0
1825,8995.0
1826,17886.0
1828,26999.0
1830,59650.0
1831,26990.0
1832,23989.0
1836,54990.0
1837,23888.0
1838,38888.0
1839,10949.0
1842,22999.0
1843,18995.0
1845,7950.0
1846,41990.0
1849,32999.0
1850,9950.0
1855,33990.0
1857,27995.0
1858,32950.0
1859,26990.0
1861,9999.0
1862,15999.0
1865,27990.0
1866,64990.0
1867,26888.0
1869,24388.0
1872,18999.0
1876,19990.0
1877,27990.0
1880,23150.0
1881,28990.0
1883,22888.0
1884,37990.0
1886,32990.0
1887,30999.0
1888,61950.0
1890,22990.0
1891,8999.0
1895,32990.0
1897,34800.0
1900,17880.0
1905,16999.0
1907,8950.0
1910,26990.0
1912,66988.0
1913,21950.0
1914,14800.0
1917,18990.0
1919,28888.0
1920,10990.0
1922,19750.0
1923,16990.0
1925,25888.0
1928,19995.0
1929,9777.0
1935,36990.0
1936,23999.0
1937,11990.0
1938,34999.0
1942,14990.0
1943,11990.0
1944,13990.0
1946,39990.0
1947,23580.0
1950,29900.0
1951,28888.0
1952,54050.0
1955,54990.0
1956,11995.0
1959,10990.0
1960,44480.0
1961,26990.0
1962,24990.0
1966,15683.0
1967,6750.0
1970,8999.0
1976,13990.0
1977,31878.0
1979,45800.0
1980,31880.0
1983,7949.0
1984,40771.0
1985,14995.0
1987,66990.0
1988,33388.0
1990,49990.0
1991,32999.0
1992,33995.0
1993,16990.0
1994,13990.0
1996,7750.0
1997,29388.0
1998,64888.0
2001,14984.0
2003,15999.0
2008,14995.0
2010,11888.0
2012,7499.0
2014,29999.0
2016,53888.0
2017,20950.0
2019,16950.0
2020,13950.0
2022,24888.0
2027,11999.0
2031,16995.0
2032,21999.0
2038,8990.0
2039,23990.0
2040,26990.0
2041,45700.0
2042,26800.0
2043,26990.0
2044,21888.0
2047,45880.0
2049,17999.0
2055,5990.0
2057,29990.0
2058,12990.0
2060,52888.0
2061,28880.0
2063,8999.0
2064,11990.0
2066,12913.0
2074,15990.0
2075,27990.0
2078,15990.0
2083,2500.0
2084,48999.0
2085,23990.0
2087,19990.0
2089,25999.0
2090,24990.0
2091,31888.0
2092,8995.0
2093,7999.0
2094,59999.0
2097,32990.0
2098,7800.0
2100,16913.0
2101,19995.0
2102,18950.0
2104,14999.0
2106,12800.0
2107,27450.0
2108,48085.0
2111,13990.0
2112,32800.0
2114,36990.0
2115,19995.0
2117,18888.0
2119,42888.0
2123,47880.0
2124,17990.0
2127,57990.0
2129,37488.0
2131,33880.0
2133,15990.0
2136,14999.0
2138,29878.0
2140,25490.0
2143,13990.0
2145,27999.0
2146,15888.0
2147,25990.0
2149,47990.0
2151,24999.0
2152,18800.0
2153,32990.0
2154,12800.0
2156,57888.0
2158,27990.0
2159,34950.0
2160,16990.0
2162,7995.0
2164,12913.0
2165,7800.0
2166,18888.0
2167,42990.0
2168,28990.0
2170,9990.0
2171,14350.0
2174,7750.0
2175,13499.0
2176,16990.0
2177,19990.0
2180,13999.0
2181,29900.0
2185,13950.0
2188,10990.0
2191,26990.0
2193,27999.0
2194,24880.0
2196,19990.0
2197,9888.0
2199,64800.0
2200,14999.0
2204,12999.0
2205,36990.0
2206,13990.0
2207,11990.0
2209,16990.0
2210,20950.0
2212,16990.0
2213,41990.0
2214,6999.0
2215,39880.0
2216,18500.0
2222,58990.0
2224,25887.0
2225,29990.0
2229,9999.0
2230,26990.0
2231,66880.0
2232,19990.0
2234,8995.0
2235,67999.0
2237,51990.0
2238,19888.0
2240,15999.0
2241,19800.0
2242,32990.0
2243,44990.0
2244,16413.0
2245,29999.0
2247,34988.0
2248,34990.0
2249,18500.0
2250,12990.0
2251,16800.0
2253,11990.0
2254,31913.0
2255,17990.0
2256,44800.0
2257,22888.0
2259,61900.0
2261,28888.0
2262,14880.0
2263,22995.0
2264,19913.0
2265,20888.0
2267,21950.0
2268,8990.0
2269,32800.0
2270,35585.0
2271,28990.0
2274,55000.0
2275,65888.0
2276,20990.0
2277,68777.0
2279,19888.0
2280,43990.0
2281,9990.0
2282,36990.0
2284,29990.0
2286,44990.0
2287,18888.0
2289,19990.0
2290,17220.0
2291,38995.0
2292,7990.0
2293,40888.0
2295,21999.0
2296,27800.0
2300,7990.0
2302,60880.0
2307,13990.0
2309,49880.0
2310,27888.0
2311,32880.0
2312,21950.0
2316,6990.0
2318,33999.0
2319,9990.0
